房间,窗墙比,传热系数,辐射吸收系数,房间朝向,房间面积,房间人数,温度,湿度,Co2浓度,送风温度,监测时间,air volume
ROOM1,0.65,0.53,0.56,东北,56.96,8,22.7,64,457,24,2024-07-05 15:30:00,1067
ROOM1,0.65,0.53,0.56,东北,56.96,8,22.6,64,461,24,2024-07-05 16:00:00,1071
ROOM1,0.65,0.53,0.56,东北,56.96,8,22.6,65,461,24,2024-07-05 16:30:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,8,22.6,65,459,24,2024-07-05 17:00:00,1061
ROOM1,0.65,0.53,0.56,东北,56.96,10,22.7,66,452,24,2024-07-05 17:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,27.5,60,434,24,2024-07-05 19:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,28,61,447,24,2024-07-05 19:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,28.6,65,434,24,2024-07-05 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,28.8,62,439,24,2024-07-05 21:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,29.1,62,435,24,2024-07-05 23:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,29.2,63,437,24,2024-07-05 23:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,29.3,63,437,24,2024-07-06 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.4,63,431,24,2024-07-06 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.4,64,437,24,2024-07-06 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.5,64,428,24,2024-07-06 01:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.6,65,426,24,2024-07-06 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.7,66,445,24,2024-07-06 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,67,432,24,2024-07-06 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.1,66,443,24,2024-07-06 06:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,63,428,24,2024-07-06 07:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.1,63,431,24,2024-07-06 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33,61,450,24,2024-07-06 10:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.3,61,444,24,2024-07-06 10:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.3,61,453,24,2024-07-06 11:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.4,62,457,24,2024-07-06 12:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.9,64,451,24,2024-07-06 14:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,443,24,2024-07-06 14:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,445,24,2024-07-06 15:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,457,24,2024-07-06 15:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,455,24,2024-07-06 17:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,461,24,2024-07-06 17:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,64,462,24,2024-07-06 18:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.6,64,444,24,2024-07-06 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.4,63,446,24,2024-07-06 21:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,63,432,24,2024-07-06 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,65,447,24,2024-07-06 23:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,65,434,24,2024-07-06 23:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,65,407,24,2024-07-07 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,66,410,24,2024-07-07 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.3,66,410,24,2024-07-07 04:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.4,67,410,24,2024-07-07 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.4,67,408,24,2024-07-07 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.4,67,411,24,2024-07-07 06:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.4,66,406,24,2024-07-07 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34,63,424,24,2024-07-07 09:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34,64,411,24,2024-07-07 10:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.5,63,419,24,2024-07-07 11:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.5,63,428,24,2024-07-07 12:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.4,63,416,24,2024-07-07 13:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.3,64,421,24,2024-07-07 14:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.2,64,418,24,2024-07-07 15:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.2,64,423,24,2024-07-07 16:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.2,64,420,24,2024-07-07 18:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.9,65,419,24,2024-07-07 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.7,65,415,24,2024-07-07 21:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.7,66,412,24,2024-07-07 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.7,66,425,24,2024-07-07 22:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,66,411,24,2024-07-08 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,66,411,24,2024-07-08 01:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,66,424,24,2024-07-08 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.5,66,404,24,2024-07-08 04:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.5,66,418,24,2024-07-08 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.5,66,406,24,2024-07-08 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,65,410,24,2024-07-08 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,34.1,64,411,24,2024-07-08 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,1,29.9,61,451,24,2024-07-08 09:00:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,3,27.9,59,453,24,2024-07-08 09:30:00,1075
ROOM1,0.65,0.53,0.56,东北,56.96,1,26.5,58,483,24,2024-07-08 10:30:00,1072
ROOM1,0.65,0.53,0.56,东北,56.96,1,26,58,456,24,2024-07-08 11:00:00,1071
ROOM1,0.65,0.53,0.56,东北,56.96,1,25.8,58,463,24,2024-07-08 11:30:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,1,25.5,58,460,24,2024-07-08 12:00:00,1065
ROOM1,0.65,0.53,0.56,东北,56.96,2,25.3,58,457,24,2024-07-08 12:30:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,1,23.6,60,463,24,2024-07-08 15:30:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,2,23.7,63,450,24,2024-07-08 16:30:00,1063
ROOM1,0.65,0.53,0.56,东北,56.96,6,24,64,471,24,2024-07-08 17:30:00,1065
ROOM1,0.65,0.53,0.56,东北,56.96,3,30.3,62,415,24,2024-07-08 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,30.5,62,414,24,2024-07-08 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,30.6,62,411,24,2024-07-08 21:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,30.8,62,410,24,2024-07-08 22:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,31,63,415,24,2024-07-09 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.2,63,406,24,2024-07-09 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.3,63,403,24,2024-07-09 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.4,63,403,24,2024-07-09 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.4,64,400,24,2024-07-09 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.5,64,403,24,2024-07-09 04:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.6,64,411,24,2024-07-09 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.1,61,400,24,2024-07-09 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.3,57,413,24,2024-07-09 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,26.8,57,433,24,2024-07-09 09:30:00,1061
ROOM1,0.65,0.53,0.56,东北,56.96,0,26.4,57,441,24,2024-07-09 10:00:00,1067
ROOM1,0.65,0.53,0.56,东北,56.96,0,26.2,57,453,24,2024-07-09 10:30:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,0,26,57,452,24,2024-07-09 11:30:00,443
ROOM1,0.65,0.53,0.56,东北,56.96,1,25.7,57,430,24,2024-07-09 12:00:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,5,24.5,60,439,24,2024-07-09 13:00:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,6,24.1,61,427,24,2024-07-09 13:30:00,1067
ROOM1,0.65,0.53,0.56,东北,56.96,7,23.9,61,427,24,2024-07-09 14:00:00,1074
ROOM1,0.65,0.53,0.56,东北,56.96,8,23.7,62,431,24,2024-07-09 15:00:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,10,23.6,62,445,24,2024-07-09 16:00:00,1063
ROOM1,0.65,0.53,0.56,东北,56.96,8,23.5,63,433,24,2024-07-09 16:30:00,1063
ROOM1,0.65,0.53,0.56,东北,56.96,4,28.8,59,412,24,2024-07-09 19:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,29.6,61,407,24,2024-07-09 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,29.9,62,402,24,2024-07-09 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,30.2,61,410,24,2024-07-09 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,30.5,62,409,24,2024-07-10 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.7,63,409,24,2024-07-10 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.8,63,408,24,2024-07-10 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,63,423,24,2024-07-10 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,64,409,24,2024-07-10 03:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31,64,417,24,2024-07-10 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31,64,409,24,2024-07-10 04:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.1,64,411,24,2024-07-10 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.2,64,409,24,2024-07-10 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32,60,400,24,2024-07-10 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.6,58,411,24,2024-07-10 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,33.3,57,428,24,2024-07-10 08:30:00,439
ROOM1,0.65,0.53,0.56,东北,56.96,2,28.8,57,446,24,2024-07-10 09:00:00,620
ROOM1,0.65,0.53,0.56,东北,56.96,5,27.6,56,444,24,2024-07-10 09:30:00,624
ROOM1,0.65,0.53,0.56,东北,56.96,5,27.3,54,454,24,2024-07-10 10:00:00,1064
ROOM1,0.65,0.53,0.56,东北,56.96,6,27,55,444,24,2024-07-10 10:30:00,442
ROOM1,0.65,0.53,0.56,东北,56.96,4,26.5,56,444,24,2024-07-10 11:00:00,1058
ROOM1,0.65,0.53,0.56,东北,56.96,4,25.7,58,441,24,2024-07-10 12:00:00,1061
ROOM1,0.65,0.53,0.56,东北,56.96,5,25.3,59,436,24,2024-07-10 12:30:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,6,24,62,439,24,2024-07-10 14:00:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,7,23.8,62,441,24,2024-07-10 15:00:00,1058
ROOM1,0.65,0.53,0.56,东北,56.96,7,23.8,62,428,24,2024-07-10 15:30:00,1064
ROOM1,0.65,0.53,0.56,东北,56.96,3,23.6,64,440,24,2024-07-10 17:30:00,254.16
ROOM1,0.65,0.53,0.56,东北,56.96,4,29.7,62,417,24,2024-07-10 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,30.1,61,423,24,2024-07-10 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,30.5,63,426,24,2024-07-11 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,65,424,24,2024-07-11 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,65,421,24,2024-07-11 04:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31,65,420,24,2024-07-11 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.1,65,427,24,2024-07-11 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.1,65,415,24,2024-07-11 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.5,61,414,24,2024-07-11 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33,58,430,24,2024-07-11 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,5,25.3,57,456,24,2024-07-11 10:30:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,5,25.1,58,457,24,2024-07-11 11:00:00,1070
ROOM1,0.65,0.53,0.56,东北,56.96,6,25.1,58,450,24,2024-07-11 11:30:00,1072
ROOM1,0.65,0.53,0.56,东北,56.96,11,24.8,59,448,24,2024-07-11 12:00:00,1066
ROOM1,0.65,0.53,0.56,东北,56.96,10,24.7,60,444,24,2024-07-11 12:30:00,442
ROOM1,0.65,0.53,0.56,东北,56.96,9,24.3,61,447,24,2024-07-11 13:00:00,1059
ROOM1,0.65,0.53,0.56,东北,56.96,9,24,62,439,24,2024-07-11 13:30:00,443
ROOM1,0.65,0.53,0.56,东北,56.96,12,23.7,63,450,24,2024-07-11 15:00:00,1065
ROOM1,0.65,0.53,0.56,东北,56.96,10,23.6,63,453,24,2024-07-11 15:30:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,11,23.4,62,438,24,2024-07-11 16:00:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,11,23.2,64,451,24,2024-07-11 17:00:00,1060
ROOM1,0.65,0.53,0.56,东北,56.96,11,26.3,58,404,24,2024-07-11 18:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,28.5,61,410,24,2024-07-11 19:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,29.8,64,418,24,2024-07-11 21:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,29.9,63,432,24,2024-07-11 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,29.9,62,418,24,2024-07-11 22:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,30,62,414,24,2024-07-11 23:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,10,30.2,63,414,24,2024-07-12 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.3,63,426,24,2024-07-12 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.5,64,409,24,2024-07-12 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.5,64,417,24,2024-07-12 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.6,65,425,24,2024-07-12 03:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.8,65,414,24,2024-07-12 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.8,66,418,24,2024-07-12 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,66,409,24,2024-07-12 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32,61,412,24,2024-07-12 07:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,28.9,56,426,24,2024-07-12 09:00:00,1066
ROOM1,0.65,0.53,0.56,东北,56.96,3,25.7,57,448,24,2024-07-12 11:00:00,1062
ROOM1,0.65,0.53,0.56,东北,56.96,4,24.6,60,441,24,2024-07-12 12:30:00,1060
ROOM1,0.65,0.53,0.56,东北,56.96,7,23.4,62,429,24,2024-07-12 14:00:00,1067
ROOM1,0.65,0.53,0.56,东北,56.96,7,23.4,62,439,24,2024-07-12 15:00:00,623
ROOM1,0.65,0.53,0.56,东北,56.96,9,23.2,62,438,24,2024-07-12 16:00:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,14,23.2,64,483,24,2024-07-12 17:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,9,29.1,62,429,24,2024-07-12 19:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,30,66,438,24,2024-07-12 21:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,30.1,66,441,24,2024-07-12 22:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,7,30.2,64,435,24,2024-07-12 23:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.4,64,425,24,2024-07-13 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.5,65,428,24,2024-07-13 01:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.5,65,412,24,2024-07-13 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.7,65,427,24,2024-07-13 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.8,65,418,24,2024-07-13 04:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,66,413,24,2024-07-13 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,66,421,24,2024-07-13 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,66,418,24,2024-07-13 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31,66,412,24,2024-07-13 06:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31,65,418,24,2024-07-13 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.2,64,417,24,2024-07-13 07:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,32.8,59,421,24,2024-07-13 09:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,59,426,24,2024-07-13 10:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.7,60,437,24,2024-07-13 10:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.8,60,424,24,2024-07-13 11:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.8,60,430,24,2024-07-13 11:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,61,442,24,2024-07-13 13:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.6,61,426,24,2024-07-13 14:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.4,62,443,24,2024-07-13 15:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.4,62,428,24,2024-07-13 16:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.3,62,423,24,2024-07-13 17:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.3,62,424,24,2024-07-13 18:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.2,62,418,24,2024-07-13 19:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.2,62,418,24,2024-07-13 19:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.1,63,416,24,2024-07-13 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,33.1,64,429,24,2024-07-13 22:00:00,0
